2025-03-27 20:42:16 - Клик по координатам: (446, 676) с кнопкой right
2025-03-27 20:42:18 - Клик по координатам: (1126, 684) с кнопкой right
2025-03-27 20:43:09 - Клик по координатам: (446, 676) с кнопкой right
2025-03-27 20:43:12 - Клик по координатам: (1126, 684) с кнопкой right
2025-03-27 21:05:17 - Клик по координатам: (694, 754) с кнопкой right
2025-03-27 21:05:19 - Клик по координатам: (1324, 963) с кнопкой right
2025-03-27 21:05:22 - Клик по координатам: (687, 456) с кнопкой right
2025-03-27 21:05:25 - Клик по координатам: (1327, 454) с кнопкой right
2025-03-27 21:05:27 - Клик по координатам: (48, 457) с кнопкой right
2025-03-27 21:31:15 - Клик по координатам: (681, 976) с кнопкой right
2025-03-27 21:31:17 - Клик по координатам: (1327, 454) с кнопкой right
2025-03-27 21:31:20 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:31:23 - Клик по координатам: (689, 454) с кнопкой right
2025-03-27 21:31:25 - Клик по координатам: (47, 454) с кнопкой right
2025-03-27 21:31:28 - Клик по координатам: (51, 492) с кнопкой right
2025-03-27 21:31:31 - Клик по координатам: (690, 519) с кнопкой right
2025-03-27 21:31:33 - Клик по координатам: (1327, 965) с кнопкой right
2025-03-27 21:31:36 - Клик по координатам: (1324, 963) с кнопкой right
2025-03-27 21:31:39 - Клик по координатам: (685, 962) с кнопкой right
2025-03-27 21:33:07 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:33:09 - Клик по координатам: (689, 454) с кнопкой right
2025-03-27 21:33:55 - Клик по координатам: (690, 519) с кнопкой right
2025-03-27 21:33:58 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:34:00 - Клик по координатам: (689, 454) с кнопкой right
2025-03-27 21:34:25 - Клик по координатам: (685, 962) с кнопкой right
2025-03-27 21:34:28 - Клик по координатам: (689, 454) с кнопкой right
2025-03-27 21:34:30 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:34:33 - Клик по координатам: (690, 519) с кнопкой right
2025-03-27 21:34:35 - Клик по координатам: (1324, 963) с кнопкой right
2025-03-27 21:45:20 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:45:22 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:45:25 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:45:27 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:45:30 - Клик по координатам: (1324, 1011) с кнопкой right
